Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
6/12/09	8	Total	NPOC	4.77
6/12/09	9	Total	NPOC	4.35
6/12/09	10	Total	NPOC	3.34
6/12/09	13	Total	NPOC	8.23
6/12/09	14	Total	NPOC	9.11
6/12/09	15	Total	NPOC	4.77
6/12/09	16	Total	NPOC	9.24
6/15/09	3	Total	NPOC	4.42
6/15/09	4	Total	NPOC	
6/15/09	5	Total	NPOC	4.76
6/15/09	7	Total	NPOC	3.10
6/15/09	8	Total	NPOC	4.84
6/15/09	9	Total	NPOC	4.95
6/15/09	10	Total	NPOC	3.76
6/15/09	13	Total	NPOC	7.57
6/15/09	14	Total	NPOC	9.42
6/15/09	15	Total	NPOC	5.55
6/15/09	16	Total	NPOC	7.54
6/17/09	3	Total	NPOC	4.06
6/17/09	4	Total	NPOC	4.43
6/17/09	5	Total	NPOC	3.83
6/17/09	7	Total	NPOC	5.20
6/17/09	8	Total	NPOC	4.31
6/17/09	8	Total	NPOC	5.00
6/17/09	9	Total	NPOC	4.99
6/17/09	10	Total	NPOC	3.46
6/17/09	13	Total	NPOC	6.97
6/17/09	14	Total	NPOC	8.43
6/17/09	15	Total	NPOC	6.57
6/17/09	16	Total	NPOC	11.42
6/19/09	3	Total	NPOC	3.59
6/19/09	4	Total	NPOC	7.06
6/19/09	5	Total	NPOC	3.87
6/19/09	7	Total	NPOC	7.99
6/19/09	9	Total	NPOC	3.61
6/19/09	10	Total	NPOC	3.53
6/19/09	13	Total	NPOC	8.86
6/19/09	14	Total	NPOC	10.05
6/19/09	15	Total	NPOC	4.54
6/19/09	16	Total	NPOC	6.69
6/22/09	3	Total	NPOC	4.22
6/22/09	4	Total	NPOC	6.08
6/22/09	5	Total	NPOC	3.87
6/22/09	7	Total	NPOC	7.04
6/22/09	8	Total	NPOC	5.32
6/22/09	9	Total	NPOC	4.96
6/22/09	10	Total	NPOC	3.31
6/22/09	13	Total	NPOC	8.45
6/22/09	14	Total	NPOC	11.16
6/22/09	15	Total	NPOC	6.34
6/22/09	16	Total	NPOC	8.44
6/24/09	3	Total	NPOC	4.19
6/24/09	4	Total	NPOC	5.12
6/24/09	5	Total	NPOC	3.86
6/24/09	7	Total	NPOC	6.83
6/24/09	8	Total	NPOC	4.94
6/24/09	9	Total	NPOC	5.15
